Timestamp for sample frequency every 15 min,Temperature (°C),Relative Humidity (%)
2025-01-09 17:48:00,20.4225,32.1750
2025-01-09 18:03:00,20.4225,32.1750
2025-01-09 18:18:00,20.4225,32.1750
2025-01-09 18:33:00,20.4225,32.1750
2025-01-09 18:48:00,20.4225,32.1750
2025-01-09 19:03:00,20.4225,32.1750
2025-01-09 19:18:00,20.4225,32.1750
2025-01-09 19:33:00,20.4225,32.1750
2025-01-09 19:48:00,20.4225,32.1750
2025-01-09 20:03:00,20.4225,32.1750
2025-01-09 20:18:00,20.4225,32.1750
2025-01-09 20:33:00,20.4225,32.1750
2025-01-09 20:48:00,20.4225,32.1750
2025-01-09 21:03:00,20.4225,32.1750
2025-01-09 21:18:00,20.4225,32.1750
2025-01-09 21:33:00,20.4225,32.1750
2025-01-09 21:48:00,20.4225,32.1750
2025-01-09 22:03:00,20.4225,32.1750
2025-01-09 22:18:00,20.4225,32.1750
2025-01-09 22:33:00,20.4225,32.1750
2025-01-09 22:48:00,20.4225,32.1750
2025-01-09 23:03:00,20.4225,32.1750
2025-01-09 23:18:00,20.4225,32.1750
2025-01-09 23:33:00,20.4225,32.1750
2025-01-09 23:48:00,20.4225,32.1750
2025-01-10 00:03:00,20.4225,32.1750
2025-01-10 00:18:00,20.4225,32.1750
2025-01-10 00:33:00,20.4225,32.1750
2025-01-10 00:48:00,20.4225,32.1750
2025-01-10 01:03:00,20.4225,32.1750
2025-01-10 01:18:00,20.4225,32.1750
2025-01-10 01:33:00,20.4225,32.1750
2025-01-10 01:48:00,20.4225,32.1750
2025-01-10 02:03:00,20.4225,32.1750
2025-01-10 02:18:00,20.4225,32.1750
2025-01-10 02:33:00,20.4225,32.1750
2025-01-10 02:48:00,20.4225,32.1750
2025-01-10 03:03:00,20.4225,32.1750
2025-01-10 03:18:00,20.4225,32.1750
2025-01-10 03:33:00,20.4225,32.1750
2025-01-10 03:48:00,20.4225,32.1750
2025-01-10 04:03:00,20.4225,32.1750
2025-01-10 04:18:00,20.4225,32.1750
2025-01-10 04:33:00,20.4225,32.1750
2025-01-10 04:48:00,20.4225,32.1750
2025-01-10 05:03:00,20.4225,32.1750
2025-01-10 05:18:00,20.4225,32.1750
2025-01-10 05:33:00,20.4225,32.1750
2025-01-10 05:48:00,20.4225,32.1750
2025-01-10 06:03:00,20.4225,32.1750
2025-01-10 06:18:00,20.4225,32.1750
2025-01-10 06:33:00,20.4225,32.1750
2025-01-10 06:48:00,20.4225,32.1750
2025-01-10 07:03:00,20.4225,32.1750
2025-01-10 07:18:00,20.4225,32.1750
2025-01-10 07:33:00,20.4225,32.1750
2025-01-10 07:48:00,20.4225,32.1750
2025-01-10 08:03:00,20.4225,32.1750
2025-01-10 08:18:00,20.4225,32.1750
2025-01-10 08:33:00,20.4225,32.1750
2025-01-10 08:48:00,20.4225,32.1750
