Timestamp for sample frequency every 30 min,Temperature (°C),Relative Humidity (%)
2024-06-29 08:19:00,25.69,38.9675
2024-06-29 08:49:00,23.4025,42.5325
2024-06-29 09:19:00,22.89,43.795
2024-06-29 09:49:00,24.05,41.695
2024-06-29 10:19:00,26.6775,36.5925
2024-06-29 10:49:00,27.815,34.27
2024-06-29 11:19:00,29.625,29.8425
2024-06-29 11:49:00,31.115,28.5675
2024-06-29 12:19:00,32.59,24.655
2024-06-29 12:49:00,33.545,22.7125
2024-06-29 13:19:00,33.84,25.465
2024-06-29 13:49:00,34.2075,27.355
2024-06-29 14:19:00,35.2375,25.8275
2024-06-29 14:49:00,35.815,23.1
2024-06-29 15:19:00,36.1675,23.5825
2024-06-29 15:49:00,34.72,23.115
2024-06-29 16:19:00,34.4475,24.135
2024-06-29 16:49:00,33.535,24.7325
2024-06-29 17:19:00,32.985,26.2
2024-06-29 17:49:00,32.12,26.3375
2024-06-29 18:19:00,31.1525,29.4875
2024-06-29 18:49:00,28.995,31.735
2024-06-29 19:19:00,27.4825,30.9225
2024-06-29 19:49:00,26.185,33.54
2024-06-29 20:19:00,24.7175,36.4775
2024-06-29 20:49:00,24.4925,36.4575
2024-06-29 21:19:00,23.7875,38.7425
2024-06-29 21:49:00,23.2975,39.81
2024-06-29 22:19:00,23.0975,39.8525
2024-06-29 22:49:00,22.9175,40.6325
2024-06-29 23:19:00,22.32,42.1075
2024-06-29 23:49:00,21.935,42.9925
2024-06-30 00:19:00,21.775,43.325
2024-06-30 00:49:00,21.385,44.4225
2024-06-30 01:19:00,20.94,47.5475
2024-06-30 01:49:00,20.4225,49.18
2024-06-30 02:19:00,19.8725,52.56
2024-06-30 02:49:00,19.7225,54.2725
2024-06-30 03:19:00,19.195,55.76
2024-06-30 03:49:00,18.8475,56.7275
2024-06-30 04:19:00,18.49,59.2775
2024-06-30 04:49:00,17.9875,61.19
2024-06-30 05:19:00,17.47,65.14
2024-06-30 05:49:00,17.255,63.2575
2024-06-30 06:19:00,17.38,64.0125
2024-06-30 06:49:00,18.085,63.01
2024-06-30 07:19:00,19.3325,60.13
2024-06-30 07:49:00,22.43,50.4975
2024-06-30 08:19:00,24.7425,44.2875
2024-06-30 08:49:00,26.7525,36.5475
2024-06-30 09:19:00,27.8475,34.59
2024-06-30 09:49:00,28.5525,33.4625
2024-06-30 10:19:00,30.02,31.1125
2024-06-30 10:49:00,30.4525,31.3075
2024-06-30 11:19:00,31.02,30.325
2024-06-30 11:49:00,32.1675,29.4975
2024-06-30 12:19:00,32.4175,31.5525
2024-06-30 12:49:00,32.54,28.4975
2024-06-30 13:19:00,33.5225,26.9075
2024-06-30 13:49:00,33.1075,25.4125
2024-06-30 14:19:00,32.8025,24.7575
2024-06-30 14:49:00,33.2575,23.9025
2024-06-30 15:19:00,34.17,24.1275
2024-06-30 15:49:00,33.45,24.8625
2024-06-30 16:19:00,32.905,27.385
2024-06-30 16:49:00,32.285,29.03
2024-06-30 17:19:00,31.825,29.7375
2024-06-30 17:49:00,31.3825,32.185
2024-06-30 18:19:00,29.9775,33.6575
2024-06-30 18:49:00,28.9625,34.805
2024-06-30 19:19:00,27.515,37.57
2024-06-30 19:49:00,24.15,43.47
2024-06-30 20:19:00,22.745,45.7075
2024-06-30 20:49:00,21.79,48.0
2024-06-30 21:19:00,21.235,49.2925
2024-06-30 21:49:00,20.6525,51.665
2024-06-30 22:19:00,19.89,54.2075
2024-06-30 22:49:00,19.3225,56.2675
2024-06-30 23:19:00,19.035,60.1775
2024-06-30 23:49:00,18.4625,63.4725
2024-07-01 00:19:00,18.01,65.84
2024-07-01 00:49:00,17.6575,65.4075
2024-07-01 01:19:00,17.5075,65.735
2024-07-01 01:49:00,17.405,66.2675
2024-07-01 02:19:00,17.475,65.6225
2024-07-01 02:49:00,17.3475,67.78
2024-07-01 03:19:00,17.095,68.73
2024-07-01 03:49:00,16.7,67.3425
2024-07-01 04:19:00,16.3,69.335
2024-07-01 04:49:00,16.2525,70.0575
2024-07-01 05:19:00,15.9525,71.2875
2024-07-01 05:49:00,15.815,72.495
2024-07-01 06:19:00,15.66,74.315
2024-07-01 06:49:00,16.62,71.475
2024-07-01 07:19:00,17.62,68.4725
2024-07-01 07:49:00,20.755,58.5875
2024-07-01 08:19:00,22.58,51.9225
2024-07-01 08:49:00,23.7125,50.17
2024-07-01 09:19:00,24.6575,48.9775
2024-07-01 09:49:00,26.7775,43.9725
2024-07-01 10:19:00,29.005,40.32
2024-07-01 10:49:00,30.635,36.53
2024-07-01 11:19:00,32.275,33.9375
2024-07-01 11:49:00,34.2225,30.5275
2024-07-01 12:19:00,34.9925,28.0525
2024-07-01 12:49:00,35.6175,27.0125
2024-07-01 13:19:00,36.51,25.245
2024-07-01 13:49:00,37.165,25.215
2024-07-01 14:19:00,38.72,21.08
2024-07-01 14:49:00,39.095,20.495
2024-07-01 15:19:00,39.44,20.1825
2024-07-01 15:49:00,39.9275,19.1775
2024-07-01 16:19:00,39.2925,18.8825
2024-07-01 16:49:00,39.205,19.02
2024-07-01 17:19:00,38.7525,18.7625
2024-07-01 17:49:00,37.8125,19.8
2024-07-01 18:19:00,37.2575,19.99
2024-07-01 18:49:00,36.99,20.735
2024-07-01 19:19:00,36.4725,19.8125
2024-07-01 19:49:00,32.54,24.115
2024-07-01 20:19:00,29.78,26.8375
2024-07-01 20:49:00,28.3475,28.3375
2024-07-01 21:19:00,27.4575,27.4625
2024-07-01 21:49:00,26.7775,27.33
2024-07-01 22:19:00,25.955,30.5675
2024-07-01 22:49:00,24.835,33.585
2024-07-01 23:19:00,24.0125,37.22
2024-07-01 23:49:00,23.505,37.905
2024-07-02 00:19:00,22.81,40.23
2024-07-02 00:49:00,22.245,42.8275
2024-07-02 01:19:00,21.4225,46.5725
2024-07-02 01:49:00,21.465,47.6975
2024-07-02 02:19:00,20.5825,52.125
2024-07-02 02:49:00,20.23,49.77
2024-07-02 03:19:00,20.1125,51.555
2024-07-02 03:49:00,19.985,52.59
2024-07-02 04:19:00,19.365,54.2375
2024-07-02 04:49:00,19.045,56.505
2024-07-02 05:19:00,18.795,54.415
2024-07-02 05:49:00,18.0675,60.395
2024-07-02 06:19:00,18.1275,56.9875
2024-07-02 06:49:00,18.95,56.395
2024-07-02 07:19:00,20.1675,56.71
2024-07-02 07:49:00,23.45,48.165
2024-07-02 08:19:00,26.35,38.4975
2024-07-02 08:49:00,30.9275,33.4775
2024-07-02 09:19:00,34.2725,25.56
2024-07-02 09:49:00,35.9175,22.1075
2024-07-02 10:19:00,36.7125,20.265
2024-07-02 10:49:00,36.7175,19.6125
2024-07-02 11:19:00,37.935,18.53
2024-07-02 11:49:00,38.18,18.7625
2024-07-02 12:19:00,39.4725,17.0
2024-07-02 12:49:00,39.655,16.535
2024-07-02 13:19:00,41.1025,15.555
2024-07-02 13:49:00,41.78,15.36
2024-07-02 14:19:00,42.63,14.8025
2024-07-02 14:49:00,43.115,14.0075
2024-07-02 15:19:00,43.3825,13.4175
2024-07-02 15:49:00,43.6125,13.6525
2024-07-02 16:19:00,43.65,13.315
2024-07-02 16:49:00,43.96,13.77
2024-07-02 17:19:00,43.9475,13.415
2024-07-02 17:49:00,42.325,14.79
2024-07-02 18:19:00,41.23,15.8075
2024-07-02 18:49:00,40.05,16.1625
2024-07-02 19:19:00,38.7575,16.63
2024-07-02 19:49:00,36.0225,18.8175
2024-07-02 20:19:00,33.785,19.9725
2024-07-02 20:49:00,31.665,22.465
2024-07-02 21:19:00,30.4,24.7975
2024-07-02 21:49:00,29.2575,27.0425
2024-07-02 22:19:00,28.145,26.4875
2024-07-02 22:49:00,27.6125,29.1425
2024-07-02 23:19:00,26.57,30.445
2024-07-02 23:49:00,25.635,33.4625
2024-07-03 00:19:00,24.7275,35.8775
2024-07-03 00:49:00,23.91,37.54
2024-07-03 01:19:00,23.285,39.4625
2024-07-03 01:49:00,22.715,42.61
2024-07-03 02:19:00,22.105,47.015
2024-07-03 02:49:00,21.485,46.385
2024-07-03 03:19:00,20.85,46.3575
2024-07-03 03:49:00,21.01,44.8625
2024-07-03 04:19:00,20.515,48.335
2024-07-03 04:49:00,19.9275,49.695
2024-07-03 05:19:00,19.51,53.6475
2024-07-03 05:49:00,19.4625,55.6875
2024-07-03 06:19:00,19.575,55.4875
2024-07-03 06:49:00,20.38,50.1275
2024-07-03 07:19:00,22.57,46.6925
2024-07-03 07:49:00,29.06,28.4375
2024-07-03 08:19:00,32.205,23.7825
2024-07-03 08:49:00,34.805,18.5225
2024-07-03 09:19:00,36.0875,17.13
2024-07-03 09:49:00,37.305,16.6
2024-07-03 10:19:00,37.235,17.24
2024-07-03 10:49:00,37.995,16.6175
2024-07-03 11:19:00,39.0025,15.745
2024-07-03 11:49:00,39.8,14.61
2024-07-03 12:19:00,40.53,13.9875
2024-07-03 12:49:00,41.29,13.74
2024-07-03 13:19:00,41.9025,12.9525
2024-07-03 13:49:00,42.7475,12.31
2024-07-03 14:19:00,43.51,12.3575
2024-07-03 14:49:00,44.0225,11.9875
2024-07-03 15:19:00,44.6225,11.82
2024-07-03 15:49:00,44.3325,11.485
2024-07-03 16:19:00,45.3525,11.33
2024-07-03 16:49:00,44.4875,12.89
2024-07-03 17:19:00,44.38,12.9375
2024-07-03 17:49:00,43.5525,13.525
2024-07-03 18:19:00,42.72,14.2475
2024-07-03 18:49:00,41.5875,15.535
2024-07-03 19:19:00,38.97,16.965
2024-07-03 19:49:00,36.135,20.6275
2024-07-03 20:19:00,33.9775,21.9375
2024-07-03 20:49:00,32.4075,23.535
2024-07-03 21:19:00,31.175,25.045
2024-07-03 21:49:00,29.95,27.085
2024-07-03 22:19:00,28.5575,34.76
2024-07-03 22:49:00,27.905,32.04
2024-07-03 23:19:00,26.955,35.2175
2024-07-03 23:49:00,26.265,35.6075
2024-07-04 00:19:00,25.4,39.2
2024-07-04 00:49:00,24.935,40.0125
2024-07-04 01:19:00,24.6625,40.875
2024-07-04 01:49:00,24.045,43.125
2024-07-04 02:19:00,23.2525,48.935
2024-07-04 02:49:00,22.4525,46.785
2024-07-04 03:19:00,22.1225,48.735
2024-07-04 03:49:00,21.7,51.8975
2024-07-04 04:19:00,21.0575,55.245
2024-07-04 04:49:00,20.985,55.5025
2024-07-04 05:19:00,20.4925,57.41
2024-07-04 05:49:00,20.075,59.4125
2024-07-04 06:19:00,20.0375,61.2775
2024-07-04 06:49:00,20.69,58.6575
2024-07-04 07:19:00,21.7475,57.13
2024-07-04 07:49:00,25.0325,46.575
2024-07-04 08:19:00,26.6925,42.245
2024-07-04 08:49:00,28.765,38.1425
2024-07-04 09:19:00,30.395,34.2125
2024-07-04 09:49:00,32.1675,32.12
2024-07-04 10:19:00,32.8125,31.2675
2024-07-04 10:49:00,34.4525,28.965
2024-07-04 11:19:00,36.0225,25.96
2024-07-04 11:49:00,36.8775,25.7075
2024-07-04 12:19:00,38.0375,23.5175
2024-07-04 12:49:00,38.6075,21.7975
2024-07-04 13:19:00,39.3675,20.3875
