Timestamp for sample frequency every 15 min,Temperature (°C),Relative Humidity (%)
2024-07-22 17:50:00,33.3,39.51
2024-07-22 18:05:00,33.3375,39.625
2024-07-22 18:20:00,35.5925,29.32
2024-07-22 18:35:00,37.435,28.9625
2024-07-22 18:50:00,37.395,28.595
2024-07-22 19:05:00,37.39,27.8425
2024-07-22 19:20:00,36.9875,25.515
2024-07-22 19:35:00,36.2975,24.9025
2024-07-22 19:50:00,35.585,28.22
2024-07-22 20:05:00,34.875,28.0575
2024-07-22 20:20:00,34.14,28.35
2024-07-22 20:35:00,33.4475,30.095
2024-07-22 20:50:00,32.9475,29.2175
2024-07-22 21:05:00,32.5825,29.05
2024-07-22 21:20:00,32.185,30.1175
2024-07-22 21:35:00,31.7275,30.5675
2024-07-22 21:50:00,31.42,30.425
2024-07-22 22:05:00,31.175,30.22
2024-07-22 22:20:00,30.9725,30.6225
2024-07-22 22:35:00,31.0,30.8975
2024-07-22 22:50:00,30.8425,31.46
2024-07-22 23:05:00,30.495,32.3925
2024-07-22 23:20:00,30.225,35.185
2024-07-22 23:35:00,30.07,36.71
2024-07-22 23:50:00,29.5175,36.7025
2024-07-23 00:05:00,29.14,36.795
2024-07-23 00:20:00,28.74,37.3075
2024-07-23 00:35:00,28.5325,38.055
2024-07-23 00:50:00,28.12,38.9975
2024-07-23 01:05:00,27.5575,41.01
2024-07-23 01:20:00,26.8725,41.125
2024-07-23 01:35:00,26.625,42.325
2024-07-23 01:50:00,26.55,44.8975
2024-07-23 02:05:00,26.1325,45.875
2024-07-23 02:20:00,25.805,44.58
2024-07-23 02:35:00,25.4775,46.9425
2024-07-23 02:50:00,25.2025,46.7675
2024-07-23 03:05:00,24.68,46.9425
2024-07-23 03:20:00,24.5175,47.0925
2024-07-23 03:35:00,24.5225,46.9275
2024-07-23 03:50:00,24.375,48.1875
2024-07-23 04:05:00,24.1725,48.8975
2024-07-23 04:20:00,23.96,49.3475
2024-07-23 04:35:00,23.645,50.54
2024-07-23 04:50:00,23.5475,51.0575
2024-07-23 05:05:00,23.4625,51.34
2024-07-23 05:20:00,23.3425,52.7025
2024-07-23 05:35:00,23.225,53.7975
2024-07-23 05:50:00,23.2325,55.3125
2024-07-23 06:05:00,22.965,55.22
2024-07-23 06:20:00,22.61,55.495
2024-07-23 06:35:00,22.465,55.2125
2024-07-23 06:50:00,22.58,54.84
2024-07-23 07:05:00,22.74,59.28
2024-07-23 07:20:00,23.22,59.505
2024-07-23 07:35:00,23.865,56.485
2024-07-23 07:50:00,24.6,54.9375
2024-07-23 08:05:00,25.485,52.915
2024-07-23 08:20:00,26.0825,51.9125
2024-07-23 08:35:00,27.005,50.975
2024-07-23 08:50:00,27.7975,49.0425
2024-07-23 09:05:00,28.6525,45.6525
2024-07-23 09:20:00,29.42,44.77
2024-07-23 09:35:00,29.9,41.8775
2024-07-23 09:50:00,30.8275,39.98
2024-07-23 10:05:00,31.515,39.0675
2024-07-23 10:20:00,32.4475,36.8275
2024-07-23 10:35:00,33.3125,36.5525
2024-07-23 10:50:00,34.55,34.99
2024-07-23 11:05:00,35.425,32.49
2024-07-23 11:20:00,35.715,32.3525
2024-07-23 11:35:00,35.9825,31.35
2024-07-23 11:50:00,36.125,28.9525
2024-07-23 12:05:00,37.3525,28.65
2024-07-23 12:20:00,38.1525,26.88
2024-07-23 12:35:00,39.9825,24.6475
2024-07-23 12:50:00,40.3175,24.9675
2024-07-23 13:05:00,40.53,24.8125
2024-07-23 13:20:00,41.91,23.435
2024-07-23 13:35:00,44.6725,21.87
2024-07-23 13:50:00,44.8725,21.33
2024-07-23 14:05:00,45.3275,20.39
2024-07-23 14:20:00,45.8575,19.7075
