Timestamp for sample frequency every 15 min,Temperature (°C),Relative Humidity (%)
2024-07-22 17:48:00,36.18,28.61
2024-07-22 18:03:00,36.1275,27.9025
2024-07-22 18:18:00,35.32,29.745
2024-07-22 18:33:00,34.63,29.5625
2024-07-22 18:48:00,34.1625,31.2225
2024-07-22 19:03:00,33.885,31.8975
2024-07-22 19:18:00,32.955,31.765
2024-07-22 19:33:00,32.28,31.56
2024-07-22 19:48:00,31.6475,31.875
2024-07-22 20:03:00,31.31,32.0775
2024-07-22 20:18:00,30.7825,29.91
2024-07-22 20:33:00,30.1225,28.425
2024-07-22 20:48:00,29.6325,28.405
2024-07-22 21:03:00,29.26,29.325
2024-07-22 21:18:00,28.6875,31.055
2024-07-22 21:33:00,27.5575,36.11
2024-07-22 21:48:00,26.925,37.14
2024-07-22 22:03:00,26.4125,38.73
2024-07-22 22:18:00,26.155,39.835
2024-07-22 22:33:00,25.9675,40.68
2024-07-22 22:48:00,25.4525,41.955
2024-07-22 23:03:00,25.1675,43.335
2024-07-22 23:18:00,25.26,42.9025
2024-07-22 23:33:00,25.075,43.7875
2024-07-22 23:48:00,24.66,45.2825
2024-07-23 00:03:00,24.2975,47.585
2024-07-23 00:18:00,23.945,48.9325
2024-07-23 00:33:00,23.7975,51.095
2024-07-23 00:48:00,23.61,50.48
2024-07-23 01:03:00,23.0225,51.4125
2024-07-23 01:18:00,23.1275,55.125
2024-07-23 01:33:00,23.0125,55.7325
2024-07-23 01:48:00,22.9525,55.2325
2024-07-23 02:03:00,22.685,55.5325
2024-07-23 02:18:00,22.375,56.3975
2024-07-23 02:33:00,22.025,55.1
2024-07-23 02:48:00,21.9575,55.805
2024-07-23 03:03:00,22.0975,56.0575
2024-07-23 03:18:00,21.735,54.425
2024-07-23 03:33:00,21.25,54.525
2024-07-23 03:48:00,21.045,53.9
2024-07-23 04:03:00,20.885,53.2925
2024-07-23 04:18:00,20.6125,53.2975
2024-07-23 04:33:00,20.545,54.265
2024-07-23 04:48:00,20.405,55.7925
2024-07-23 05:03:00,20.2925,55.5575
2024-07-23 05:18:00,20.3925,55.0875
2024-07-23 05:33:00,20.39,55.1325
2024-07-23 05:48:00,20.185,56.4675
2024-07-23 06:03:00,20.01,56.9225
2024-07-23 06:18:00,19.9975,56.0725
2024-07-23 06:33:00,20.14,56.8475
2024-07-23 06:48:00,20.4375,55.8725
2024-07-23 07:03:00,20.8375,54.515
2024-07-23 07:18:00,21.58,54.305
2024-07-23 07:33:00,22.4625,53.74
2024-07-23 07:48:00,23.3525,51.0275
2024-07-23 08:03:00,24.105,49.6425
2024-07-23 08:18:00,24.8475,48.3575
2024-07-23 08:33:00,25.865,46.5875
2024-07-23 08:48:00,26.8075,43.015
2024-07-23 09:03:00,27.6475,41.85
2024-07-23 09:18:00,28.5875,40.2525
2024-07-23 09:33:00,29.1975,40.8225
2024-07-23 09:48:00,30.0025,39.8925
2024-07-23 10:03:00,30.4775,37.5575
2024-07-23 10:18:00,31.5025,36.4975
2024-07-23 10:33:00,32.4975,33.8675
2024-07-23 10:48:00,33.4675,32.2825
2024-07-23 11:03:00,34.3375,30.195
2024-07-23 11:18:00,34.7075,26.9775
2024-07-23 11:33:00,35.3225,22.435
2024-07-23 11:48:00,36.31,23.0125
2024-07-23 12:03:00,37.015,22.07
2024-07-23 12:18:00,37.015,23.0375
2024-07-23 12:33:00,37.3325,22.7275
2024-07-23 12:48:00,37.975,21.8875
2024-07-23 13:03:00,38.45,21.795
2024-07-23 13:18:00,38.6375,21.565
2024-07-23 13:33:00,39.5,20.815
2024-07-23 13:48:00,39.01,19.8725
2024-07-23 14:03:00,39.4275,19.9125
2024-07-23 14:18:00,39.945,19.93
2024-07-23 14:33:00,39.6025,19.7475
2024-07-23 14:48:00,39.8225,20.1425
2024-07-23 15:03:00,39.765,19.6375
2024-07-23 15:18:00,39.845,19.2625
2024-07-23 15:33:00,39.965,19.12
2024-07-23 15:48:00,39.925,18.3525
2024-07-23 16:03:00,40.0375,18.375
2024-07-23 16:18:00,39.8925,18.245
2024-07-23 16:33:00,39.435,18.79
2024-07-23 16:48:00,38.8925,19.205
2024-07-23 17:03:00,38.36,19.96
2024-07-23 17:18:00,38.0225,19.695
2024-07-23 17:33:00,37.7525,19.82
2024-07-23 17:48:00,36.8425,19.8725
2024-07-23 18:03:00,37.015,20.31
2024-07-23 18:18:00,36.5125,20.6625
2024-07-23 18:33:00,36.13,21.2825
2024-07-23 18:48:00,35.4075,20.71
2024-07-23 19:03:00,34.4175,21.1425
2024-07-23 19:18:00,33.7975,21.2725
2024-07-23 19:33:00,33.15,21.2975
2024-07-23 19:48:00,32.5275,21.1175
2024-07-23 20:03:00,31.95,21.4675
2024-07-23 20:18:00,31.5025,20.13
2024-07-23 20:33:00,31.195,19.825
2024-07-23 20:48:00,30.855,18.5675
2024-07-23 21:03:00,30.295,17.97
2024-07-23 21:18:00,30.07,18.595
2024-07-23 21:33:00,29.7375,18.7425
2024-07-23 21:48:00,29.3175,18.7075
2024-07-23 22:03:00,29.0125,18.3275
2024-07-23 22:18:00,28.495,19.4675
2024-07-23 22:33:00,28.0275,21.0475
2024-07-23 22:48:00,27.5875,22.5125
2024-07-23 23:03:00,27.855,25.905
