Timestamp for sample frequency every 15 min,Temperature (°C),Relative Humidity (%)
2024-07-10 11:51:00,25.105,56.63
2024-07-10 12:06:00,25.635,54.8325
2024-07-10 12:21:00,26.1825,52.315
2024-07-10 12:36:00,26.99,51.04
2024-07-10 12:51:00,28.085,49.1475
2024-07-10 13:06:00,28.8925,47.415
2024-07-10 13:21:00,30.5575,44.2525
2024-07-10 13:36:00,31.685,40.93
2024-07-10 13:51:00,31.45,41.8575
2024-07-10 14:06:00,31.5475,40.6775
2024-07-10 14:21:00,31.8875,39.41
2024-07-10 14:36:00,31.4125,39.6375
2024-07-10 14:51:00,31.8925,39.0625
2024-07-10 15:06:00,32.045,37.205
2024-07-10 15:21:00,32.325,35.5225
2024-07-10 15:36:00,32.47,35.915
2024-07-10 15:51:00,33.04,34.7
2024-07-10 16:06:00,32.91,34.9975
2024-07-10 16:21:00,32.9825,37.405
2024-07-10 16:36:00,32.9025,37.3975
2024-07-10 16:51:00,32.95,35.555
2024-07-10 17:06:00,32.93,36.5375
2024-07-10 17:21:00,32.895,36.7125
2024-07-10 17:36:00,32.58,36.8975
2024-07-10 17:51:00,32.475,36.515
2024-07-10 18:06:00,32.295,36.9325
2024-07-10 18:21:00,31.955,37.82
2024-07-10 18:36:00,31.79,38.855
2024-07-10 18:51:00,31.5775,39.2075
2024-07-10 19:06:00,31.3275,38.9725
2024-07-10 19:21:00,30.9675,38.4825
2024-07-10 19:36:00,30.7125,39.145
2024-07-10 19:51:00,30.3225,39.425
2024-07-10 20:06:00,29.8825,40.55
2024-07-10 20:21:00,29.58,41.115
2024-07-10 20:36:00,29.1175,41.4425
2024-07-10 20:51:00,28.815,42.135
2024-07-10 21:06:00,28.6075,42.41
2024-07-10 21:21:00,28.4125,42.8725
2024-07-10 21:36:00,28.2375,43.2
2024-07-10 21:51:00,28.0675,43.3025
2024-07-10 22:06:00,27.9725,43.2475
2024-07-10 22:21:00,27.815,43.2625
2024-07-10 22:36:00,27.6925,43.4
2024-07-10 22:51:00,27.5725,43.6825
2024-07-10 23:06:00,27.4225,43.6825
2024-07-10 23:21:00,27.2475,44.125
2024-07-10 23:36:00,27.05,44.6425
2024-07-10 23:51:00,26.86,44.8375
2024-07-11 00:06:00,26.7125,45.5725
2024-07-11 00:21:00,26.485,45.85
2024-07-11 00:36:00,26.3725,46.9625
2024-07-11 00:51:00,26.1825,46.9925
2024-07-11 01:06:00,26.0325,47.5525
2024-07-11 01:21:00,25.8175,48.1675
2024-07-11 01:36:00,25.71,47.5675
2024-07-11 01:51:00,25.4775,47.9075
2024-07-11 02:06:00,25.29,48.0675
2024-07-11 02:21:00,25.1275,48.0025
2024-07-11 02:36:00,24.9625,48.2325
2024-07-11 02:51:00,24.81,48.17
2024-07-11 03:06:00,24.635,48.2675
2024-07-11 03:21:00,24.4775,48.775
2024-07-11 03:36:00,24.365,48.995
2024-07-11 03:51:00,24.26,48.9325
2024-07-11 04:06:00,24.1475,49.0625
2024-07-11 04:21:00,23.9575,49.7275
2024-07-11 04:36:00,23.8675,49.825
2024-07-11 04:51:00,23.715,50.13
2024-07-11 05:06:00,23.625,50.4125
2024-07-11 05:21:00,23.4725,50.9825
2024-07-11 05:36:00,23.355,52.68
2024-07-11 05:51:00,23.2925,54.2675
2024-07-11 06:06:00,23.2075,53.095
