Timestamp for sample frequency every 15 min,Temperature (°C),Relative Humidity (%)
2024-07-14 12:45:00,28.4475,45.8025
2024-07-14 13:00:00,28.375,45.9825
2024-07-14 13:15:00,28.5625,43.9475
2024-07-14 13:30:00,29.205,44.7775
2024-07-14 13:45:00,30.29,40.6475
2024-07-14 14:00:00,30.33,40.8275
2024-07-14 14:15:00,32.3175,36.755
2024-07-14 14:30:00,31.225,38.7175
2024-07-14 14:45:00,31.1875,39.32
2024-07-14 15:00:00,31.7625,39.26
2024-07-14 15:15:00,31.5,37.9725
2024-07-14 15:30:00,32.0725,36.7575
2024-07-14 15:45:00,33.2325,35.315
2024-07-14 16:00:00,32.2425,36.8425
2024-07-14 16:15:00,31.9475,37.615
2024-07-14 16:30:00,32.555,36.9075
2024-07-14 16:45:00,32.34,36.91
2024-07-14 17:00:00,31.6375,37.465
2024-07-14 17:15:00,30.9075,39.595
2024-07-14 17:30:00,30.3925,41.5975
2024-07-14 17:45:00,29.6175,40.1975
2024-07-14 18:00:00,29.145,41.3625
2024-07-14 18:15:00,28.3975,41.64
2024-07-14 18:30:00,26.37,45.2675
2024-07-14 18:45:00,25.91,45.615
2024-07-14 19:00:00,25.1125,47.465
2024-07-14 19:15:00,23.9275,49.14
2024-07-14 19:30:00,22.8225,51.5125
2024-07-14 19:45:00,22.46,52.9825
2024-07-14 20:00:00,21.69,53.9175
2024-07-14 20:15:00,21.075,55.965
2024-07-14 20:30:00,20.425,57.2075
2024-07-14 20:45:00,19.9075,58.56
2024-07-14 21:00:00,19.4625,59.9125
2024-07-14 21:15:00,18.665,62.065
2024-07-14 21:30:00,18.2675,63.5575
2024-07-14 21:45:00,17.6475,67.0175
2024-07-14 22:00:00,17.245,67.935
2024-07-14 22:15:00,17.08,68.425
2024-07-14 22:30:00,16.6925,70.5
2024-07-14 22:45:00,16.415,71.6675
2024-07-14 23:00:00,16.0925,73.06
2024-07-14 23:15:00,15.9525,73.725
2024-07-14 23:30:00,15.8925,73.645
2024-07-14 23:45:00,15.6075,75.12
2024-07-15 00:00:00,15.375,76.1175
2024-07-15 00:15:00,15.0925,77.1725
2024-07-15 00:30:00,15.175,76.9375
2024-07-15 00:45:00,15.1225,77.8075
2024-07-15 01:00:00,14.795,79.5725
2024-07-15 01:15:00,14.89,78.855
2024-07-15 01:30:00,14.7425,80.22
2024-07-15 01:45:00,14.77,78.805
2024-07-15 02:00:00,14.6075,80.1325
2024-07-15 02:15:00,14.5375,80.92
2024-07-15 02:30:00,14.55,80.9125
2024-07-15 02:45:00,14.5025,81.725
2024-07-15 03:00:00,14.495,81.52
2024-07-15 03:15:00,14.2825,82.3875
2024-07-15 03:30:00,14.365,81.9425
2024-07-15 03:45:00,14.29,82.17
2024-07-15 04:00:00,14.19,83.5625
2024-07-15 04:15:00,14.2375,84.51
2024-07-15 04:30:00,14.2775,84.795
2024-07-15 04:45:00,14.37,84.185
2024-07-15 05:00:00,14.3175,84.9725
2024-07-15 05:15:00,14.275,85.38
2024-07-15 05:30:00,14.445,84.385
2024-07-15 05:45:00,14.4875,84.4125
2024-07-15 06:00:00,14.325,85.2175
2024-07-15 06:15:00,14.25,84.945
2024-07-15 06:30:00,14.3525,84.47
2024-07-15 06:45:00,14.4175,83.6675
2024-07-15 07:00:00,14.195,85.2725
2024-07-15 07:15:00,14.4675,83.875
2024-07-15 07:30:00,14.6475,83.4375
2024-07-15 07:45:00,14.925,82.0225
2024-07-15 08:00:00,15.04,82.0625
2024-07-15 08:15:00,15.595,80.9375
2024-07-15 08:30:00,15.7325,79.625
2024-07-15 08:45:00,16.1425,79.03
2024-07-15 09:00:00,16.155,78.2
2024-07-15 09:15:00,17.31,74.225
2024-07-15 09:30:00,17.44,75.74
2024-07-15 09:45:00,18.525,70.9725
2024-07-15 10:00:00,18.9075,70.0175
2024-07-15 10:15:00,18.6275,70.3875
2024-07-15 10:30:00,19.535,66.4125
2024-07-15 10:45:00,20.655,62.67
2024-07-15 11:00:00,21.095,62.0225
2024-07-15 11:15:00,21.6725,59.2175
