Timestamp for sample frequency every 15 min,Temperature (°C),Relative Humidity (%)
2024-05-14 13:31:00,28.265,35.7875
2024-05-14 13:46:00,29.0075,33.475
2024-05-14 14:01:00,29.2025,33.8175
2024-05-14 14:16:00,28.8075,32.755
2024-05-14 14:31:00,28.89,32.55
2024-05-14 14:46:00,29.025,34.1075
2024-05-14 15:01:00,29.1175,34.2775
2024-05-14 15:16:00,29.5075,31.83
2024-05-14 15:31:00,29.26,31.6125
2024-05-14 15:46:00,28.9225,31.0775
2024-05-14 16:01:00,28.76,30.72
2024-05-14 16:16:00,28.6,31.5225
2024-05-14 16:31:00,28.5975,32.8925
2024-05-14 16:46:00,28.2125,34.3525
2024-05-14 17:01:00,27.9475,35.2975
2024-05-14 17:16:00,27.4025,34.5425
2024-05-14 17:31:00,27.1975,34.1625
2024-05-14 17:46:00,27.1025,35.5075
2024-05-14 18:01:00,25.9975,37.7025
2024-05-14 18:16:00,25.785,36.2025
2024-05-14 18:31:00,25.335,33.6525
2024-05-14 18:46:00,25.025,35.8825
2024-05-14 19:01:00,24.3275,37.18
2024-05-14 19:16:00,23.5575,37.6875
2024-05-14 19:31:00,22.7925,40.2325
2024-05-14 19:46:00,22.1075,41.91
2024-05-14 20:01:00,21.4325,42.455
2024-05-14 20:16:00,20.44,46.2075
2024-05-14 20:31:00,19.635,48.1875
2024-05-14 20:46:00,19.1375,50.175
2024-05-14 21:01:00,18.725,51.8725
2024-05-14 21:16:00,18.0525,53.9975
2024-05-14 21:31:00,17.295,55.7325
2024-05-14 21:46:00,16.825,57.12
2024-05-14 22:01:00,16.44,57.8775
2024-05-14 22:16:00,16.205,58.7675
2024-05-14 22:31:00,15.8325,60.0475
2024-05-14 22:46:00,15.46,61.1525
2024-05-14 23:01:00,15.3075,61.82
2024-05-14 23:16:00,15.0725,62.535
2024-05-14 23:31:00,14.8925,63.49
2024-05-14 23:46:00,14.7,64.72
2024-05-15 00:01:00,14.485,65.8
2024-05-15 00:16:00,14.115,67.065
2024-05-15 00:31:00,13.92,68.03
2024-05-15 00:46:00,13.6975,69.0
2024-05-15 01:01:00,13.55,69.905
2024-05-15 01:16:00,13.32,71.3225
2024-05-15 01:31:00,13.2375,71.73
2024-05-15 01:46:00,13.125,72.23
2024-05-15 02:01:00,12.9575,73.1775
2024-05-15 02:16:00,12.755,74.3625
2024-05-15 02:31:00,12.7025,74.6225
2024-05-15 02:46:00,12.51,75.675
2024-05-15 03:01:00,12.4125,76.7825
2024-05-15 03:16:00,12.2725,77.59
2024-05-15 03:31:00,12.245,78.4025
2024-05-15 03:46:00,12.1275,79.1175
2024-05-15 04:01:00,12.0,80.26
2024-05-15 04:16:00,12.0175,80.8375
2024-05-15 04:31:00,12.1525,81.97
2024-05-15 04:46:00,12.35,81.54
2024-05-15 05:01:00,12.3325,81.8375
2024-05-15 05:16:00,12.5125,81.35
2024-05-15 05:31:00,12.7025,81.0
2024-05-15 05:46:00,12.825,80.5225
2024-05-15 06:01:00,12.91,80.2175
2024-05-15 06:16:00,13.01,79.7925
2024-05-15 06:31:00,13.195,78.815
2024-05-15 06:46:00,13.445,78.9175
2024-05-15 07:01:00,13.63,78.62
2024-05-15 07:16:00,13.88,77.775
2024-05-15 07:31:00,13.995,77.885
2024-05-15 07:46:00,14.375,76.45
2024-05-15 08:01:00,14.735,75.76
2024-05-15 08:16:00,15.585,71.815
2024-05-15 08:31:00,17.92,63.3425
2024-05-15 08:46:00,24.88,43.9225
2024-05-15 09:01:00,33.2875,30.745
2024-05-15 09:16:00,40.0775,23.55
2024-05-15 09:31:00,42.69,21.48
2024-05-15 09:46:00,43.92,20.4275
2024-05-15 10:01:00,44.0125,19.7825
2024-05-15 10:16:00,44.2425,19.5025
2024-05-15 10:31:00,31.245,31.9025
2024-05-15 10:46:00,27.4225,36.9
2024-05-15 11:01:00,26.565,39.435
2024-05-15 11:16:00,26.4575,40.1
2024-05-15 11:31:00,26.83,38.0175
2024-05-15 11:46:00,27.0,39.04
2024-05-15 12:01:00,27.1625,38.155
2024-05-15 12:16:00,27.435,38.29
2024-05-15 12:31:00,27.6625,38.315
2024-05-15 12:46:00,28.32,38.7075
2024-05-15 13:01:00,28.535,36.815
2024-05-15 13:16:00,28.2475,37.8525
2024-05-15 13:31:00,28.5125,36.815
2024-05-15 13:46:00,28.5225,37.7875
2024-05-15 14:01:00,28.4275,36.9
2024-05-15 14:16:00,28.3425,37.39
2024-05-15 14:31:00,28.2975,37.14
2024-05-15 14:46:00,28.325,37.57
2024-05-15 15:01:00,28.23,36.785
2024-05-15 15:16:00,28.45,37.56
2024-05-15 15:31:00,28.55,36.315
2024-05-15 15:46:00,28.2975,35.435
2024-05-15 16:01:00,28.4125,36.6975
2024-05-15 16:16:00,27.66,36.8125
2024-05-15 16:31:00,27.72,34.6975
2024-05-15 16:46:00,27.6475,35.6275
2024-05-15 17:01:00,27.1475,35.9125
2024-05-15 17:16:00,26.49,36.7375
2024-05-15 17:31:00,25.97,37.6425
2024-05-15 17:46:00,25.655,36.74
2024-05-15 18:01:00,25.0475,36.3475
2024-05-15 18:16:00,24.62,37.5925
2024-05-15 18:31:00,24.18,37.345
2024-05-15 18:46:00,23.8175,37.7675
2024-05-15 19:01:00,23.275,38.175
2024-05-15 19:16:00,22.9225,38.1875
2024-05-15 19:31:00,22.4175,40.06
2024-05-15 19:46:00,21.745,43.7475
2024-05-15 20:01:00,20.75,47.47
2024-05-15 20:16:00,19.7075,49.8075
2024-05-15 20:31:00,18.8825,51.6725
2024-05-15 20:46:00,18.2525,53.0025
2024-05-15 21:01:00,17.62,55.4
2024-05-15 21:16:00,16.935,58.085
2024-05-15 21:31:00,16.245,61.1025
2024-05-15 21:46:00,15.785,63.1225
2024-05-15 22:01:00,15.37,65.1125
2024-05-15 22:16:00,14.9125,66.855
2024-05-15 22:31:00,14.5925,67.9125
2024-05-15 22:46:00,14.3525,69.1175
2024-05-15 23:01:00,14.1,70.37
2024-05-15 23:16:00,13.8,71.48
2024-05-15 23:31:00,13.5525,72.4725
2024-05-15 23:46:00,13.4125,73.55
2024-05-16 00:01:00,13.1975,74.54
2024-05-16 00:16:00,13.025,75.3925
2024-05-16 00:31:00,12.8675,76.8725
2024-05-16 00:46:00,12.7675,77.235
2024-05-16 01:01:00,12.685,77.6625
2024-05-16 01:16:00,12.6375,78.3175
2024-05-16 01:31:00,12.585,78.515
2024-05-16 01:46:00,12.565,78.66
2024-05-16 02:01:00,12.7325,78.9675
2024-05-16 02:16:00,13.1975,78.055
2024-05-16 02:31:00,13.5475,77.23
2024-05-16 02:46:00,13.7725,77.3525
2024-05-16 03:01:00,13.93,77.2675
2024-05-16 03:16:00,14.0775,77.5325
2024-05-16 03:31:00,14.1175,77.2825
2024-05-16 03:46:00,14.0375,77.5175
2024-05-16 04:01:00,13.9175,77.7825
2024-05-16 04:16:00,14.0025,77.7175
2024-05-16 04:31:00,13.98,78.24
2024-05-16 04:46:00,13.815,77.7275
2024-05-16 05:01:00,13.6825,77.8675
2024-05-16 05:16:00,13.8,77.5775
2024-05-16 05:31:00,13.7975,77.81
2024-05-16 05:46:00,13.8525,77.975
2024-05-16 06:01:00,13.7475,78.585
2024-05-16 06:16:00,13.8,78.32
2024-05-16 06:31:00,13.6225,78.24
2024-05-16 06:46:00,13.665,78.0125
2024-05-16 07:01:00,13.8925,76.78
2024-05-16 07:16:00,14.3675,75.1425
2024-05-16 07:31:00,14.8875,73.4475
2024-05-16 07:46:00,15.715,70.4125
2024-05-16 08:01:00,16.785,66.3475
2024-05-16 08:16:00,20.205,54.9925
2024-05-16 08:31:00,23.1075,44.8825
2024-05-16 08:46:00,19.9875,52.88
2024-05-16 09:01:00,19.445,54.4725
2024-05-16 09:16:00,19.3025,54.9075
2024-05-16 09:31:00,19.3725,54.86
2024-05-16 09:46:00,19.465,54.36
2024-05-16 10:01:00,19.6175,53.9725
2024-05-16 10:16:00,19.755,53.7075
2024-05-16 10:31:00,19.865,53.1825
2024-05-16 10:46:00,20.01,52.59
